College Code,College Name,District,Pincode
3849,Annai College of Engineering and Technology Anakudi Road Kovilacheri,Thanjavur District,612503
3850,VetriVinayaha College of Engineering and Technology Namakkal-Trichy Main,Tiruchirappalli District,621215
3852,Sri Bharathi Engineering College for Women Kaikkuruchi Village Alangudi Taluk,Pudukkottai District,622303
3854,Mahath Amma Institute of Engineering and Technology MIET Ariyur Annavasal,Pudukkottai District,622101
3855,As-Salam College of Engineering and Technology Thirumangalakudi Aduthurai,Thanjavur District,612102
3857,Meenakshi Ramaswamy Engineering College Trichy Main Road Thathanur,Ariyalur District,621804
3860,St. Anne's College of Engineering and Technology Anguchettypalayam Siruvathur,Cuddalore District,607110
3905,Kings College of Engineering Punalkulam,Pudukkottai District,613303
3908,Mount Zion College of Engineering and Technology Pilivalam Post Pudukkottai,Pudukkottai District,622507
3918,Shanmuganathan Engineering College Pillivalam Post,Pudukkottai District,622507
3920,Sudharsan Engineering College Sathiyamangalam Post,Pudukkottai District,622501
3923,M N S K College of Engineering Vallathirakkottai Post,Pudukkottai District,622305
4670,Rohini College of Engineering & Technology Anjugramam-Kanyakumari Main,Kanyakumari District,629401
4671,Sigma College of Architecture Moododu Anucode Post Marthandam,Kanyakumari District,629168
4672,Stella Mary's College of Engineering ArunthenganVilai Azhikal Post Kanyakumari,Kanyakumari District,629202
4675,Universal College of Engineering and Technology Anbagam Campus Radhapuram,Tirunelveli District,627117
4676,RenganayagiVaratharaj College of Engineering Salvarpatti Sivakasi Virudhunagar,Virudhunagar District,626128
4677,Lourdes Mount College of Engineering and Technology Marthandam-Karungal,Kanyakumari District,629195
4678,Ramco Institute of Technology North venganallur Village Krishnapuram,Virudhunagar District,626117
4679,V.P.M.M. College of Architecture For,Virudhunagar District,626190
4680,AAA College of Engineering and Technology Kamarajar Educational Road,Virudhunagar District,626005
4686,Good Shepherd College of Engineering and Technology Maruthamparai,Kanyakumari District,629101
4864,V V College of Engineering Arasoor Village Idaichivilai Post Santhakulam Taluk,Thoothukudi District,628656
4917,Sethu Institute of Technology Autonomous Kariapatti Post Virudhunagar,Virudhunagar District,626115
4925,- Sun College of Engineering and Technology Ammandivilai& Post Kanyakumari,Kanyakumari District,629204
4927,Maria College of Engineering and Technology AttoorPuliyamoodu Junction,Kanyakumari District,629177
4928,MAR Ephraem College of Engineering & Technology Malankara Hills Elavuvillai,Kanyakumari District,629171
4929,M E T Engineering College Mogals Garden Thovalai Village Aralvaimozhi Town,Kanyakumari District,629304
4931,Grace College of Engineering Chandy Nagar Mullakkadu,Thoothukudi District,628005
4932,Immanuel Arasar J.J. College of Engineering Edavilagam Nattalam Marthandam,Marthandam District,629165
4933,St. Mother Theresa Engineering College Vagaikulam,Thoothukudi District,628102
4934,Holy Cross Engineering College Vagaikulam Sri Mulakarai Srivaikuntam,Thoothukudi District,628851
4937,- A.R College of Engineering and Technology A.R Nagar Kadayam-Alangulam Road,Kadayam-Alangulam Road District,627423
4938,Sivaji College of Engineering and Technology ManivillaPalulai Panchayat,Kanyakumari District,629171
4941,Unnamalai Institute of Technology Ayyaneri Kovilpatti,Thoothukudi District,628502
4943,- Satyam College of Engineering and Technology Satyam,Satyam District,629301
4944,Arunachala College of Engineering for Women Thanka Gardens Manavilai,Kanyakumari District,629203
4946,D M I Engineering College Aralvaimozhi Village Thovalai,Kanyakumari District,629301
4948,Rajas Institute of Technology Ozhuginasery Nagercoil,Kanyakumari District,629001
4952,C S I Institute of Technology Thovalai,Kanyakumari District,629302
4953,CAPE Institute of Technology Levingipuram,Tirunelveli District,627114
4954,Dr.SivanthiAditanar College of Engineering Tiruchendur,Thoothukudi District,628215
4955,Francis Xavier Engineering College Autonomous Vannarpettai Tirunelveli,Tirunelveli District,627003
4956,Jayamatha Engineering College Aralvaimozhi,Kanyakumari District,629301
4957,JayarajAnnapackiam CSI College of Engineering Nazareth,Thoothukudi District,628617
4959,Kamaraj College of Engineering and Technology Autonomous Virudhunagar,Virudhunagar District,626001
4960,Mepco Schlenk Engineering College Autonomous Sivakasi,Virudhunagar District,626005
4961,Nellai College of Engineering Formerly National College of Engineering,Tirunelveli District,627151
4962,National Engineering College Autonomous Kovilpatti,Thoothukudi District,628503
4966,PET Engineering College Vallioor Post,Tirunelveli District,627117
4967,S VeerasamyChettiar College of Engineering and Technology Puliangudi Post,Tenkasi District,627855
4968,Sardar Raja College of Engineering Alangulam,Tenkasi District,627808
4969,SCAD College of Engineering and Technology Cheranmahadevi,Tirunelveli District,627414
4970,Sree Sowdambika College of Engineering Aruppukkottai Taluk Virudhunagar,Virudhunagar District,626134
4971,St. Xavier's Catholic College of Engineering Autonomous Chunkankadai,Kanyakumari District,629807
4972,AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari,Kanyakumari District,629902
4975,Dr. G U Pope College of Engineering Sawyerpuram,Thoothukudi District,628251
4976,Infant Jesus College of Engineering Thoothukudi Highway NH7/A Thoothukudi,Thoothukudi District,628851
4977,Narayanaguru College of Engineering Manjalumoodu,Kanyakumari District,629151
4978,Udaya School of Engineering Ammandivilai Post,Kanyakumari District,629204
4980,Einstein College of Engineering Seethaparpanallur,Tirunelveli District,627012
4981,Ponjesly College of Engineering Vettornimadam Post Nagercoil Kanyakumari,Kanyakumari District,629003
4982,Vins Christian College of Engineering Chunkankadai Post Nagercoil Kanyakumari,Kanyakumari District,629807
4983,Lord Jegannath College of Engineering and Technology Kumarapuram Thoppur,Kanyakumari District,629402
4984,Marthandam College of Engineering & Technology Kuttakuzhi Veeyanoor Post,Kanyakumari District,629177
4989,PSN Engineering College Melathediyoor,Tirunelveli District,627152
4992,Bethlahem Institute of Engineering Karungal,Kanyakumari District,629157
4993,Loyola Institute of Technology and Science Loyola Nagar P B No. Thovalai,Kanyakumari District,629302
4994,J P College of Engineering College Road Ayakudy Tenkasi Taluk,Tenkasi District,627852
4995,P.S.R.R College of Engineering Appayanaickenpatti Sevalpatti Virudhunagar,Virudhunagar District,626140
4996,Sri Vidya College of Engineering and Technology Sivakasi Main Road P,Virudhunagar District,626005
4998,MahakaviBharathiyar College of Engineering and Technology Vasudevanallur,Tenkasi District,627758
4999,AnnaiVailankanni College of Engineering Pothaiyadi Salai Pottalkulam,Kanyakumari District,629401
5502,Sri Raajaraajan College of Engineering & Technology Amaravathi Village,Sivagangai District,630301
5530,SSM Institute of Engineering and Technology Kuttathupatti Village Sindalaigundu,Dindigul District,624002
5532,Vaigai College of Engineering Therkutheru Melur Taluk,Madurai District,625122
5533,KIM Technical Campus Keeranipatti Thalakkuvur Karaikudi Karaikudi Institute of Technology and Karaikudi Institute of Management KIT &,Sivagangai District,630307
5536,Mangayarkarasi College of Engineering First Street Mangayarkarasi Nagar,Madurai District,625402
5537,Jainee College of Engineering and Technology Dindigul-Theni Main Road Near,Dindigul District,624303
5538,- J.K. College of Architecture NH- Madurai Road Begampur Post Dindigul,Dindigul District,624002
5720,- Sri Subramanya College of Engineering and Technology Sukkamanaickanpatti,Dindigul District,624615
5832,N P R College of Engineering and Technology Autonomous Natham Dindigul,Dindigul District,624401
5862,R V S Educational Trust’s Groups of Institutions Integrated Campus N Paraipatti,Dindigul District,624005
5863,Architecture RVS Nagar Karur Road N Paraipatti Post Vedasandur Taluk R V S Educational Trust's Group of Institutions foremerly R V S School of,Dindigul District,624005
5865,Nadar Saraswathi College of Engineering and Technology Vadupudupatti Annanji,Theni District,625531
5902,Bharath Niketan Engineering College Thimmarasanaickanoor Aundipatti Theni,Theni District,625536
5904,K L N College of Engineering Autonomous Pottapalayam,Sivagangai District,630611
5907,Mohamed Sathak Engineering College Kilakarai,Ramanathapuram District,623806
5910,P S N A Colllege of Engineering and Technology,Dindigul District,624622
5911,P T R College of Engineering and Technology Thanapandiyan Nagar Austinpatty,Madurai District,625008
5913,R V S College of Engineering N Paraipatti Post,Dindigul District,624005
5914,Solamalai College of Engineering Veerapanjan,Madurai District,625020
5915,SACS-M A V M M Engineering College Kidaripatty Post,Madurai District,625301
5919,St. Michael College of Engineering and Technology Kalayarkoil,Sivagangai District,630551
5921,Syed Ammal Engineering College AchuthanVayal Post,Ramanathapuram District,623502
5924,Ganapathy Chettiar College of Engineering and Technology Melakavanur Post,Ramanathapuram District,623706
5930,SBM College of Engineering and Technology Thamaraipady T N ParaipattiPirivu,Dindigul District,624005
5935,Fatima Michael College of Engineering and Technology Sengottai Village,Madurai District,625020
5942,Ultra College of Engineering and Technology Kodikulam Bit Village Madurai-,Madurai District,625104
5986,Velammal College of Engineering and Technology Autonomous,Madurai District,625009
5988,Theni Kammavar Sangam College of Technology Theni Main Road Koduvillarpatti,Theni District,625534
5990,Latha Mathavan Engineering College Kidaripatti Post Alagarkoil Via Melur,Madurai District,625301
3802,Shri Angalamman College of Engineering and Technology Siruganoor,Siruganoor District,621105
3859,Sembodai Rukmani Varadharajan Engineering College Sembodhai Village,Sembodhai Village District,614820
5842,Madurai Institute of Engineering and Technology Pottapalayam Village,Pottapalayam Village District,630611
5851,Veeramal Engineering College PVP Nagar K. Singrakottai Dindigul-.,Dindigul-. 389 District,624708
1441,LIST OF COLLEGES Alphabetical Order TNEA S.No. Name of the College Page No. Code No. A K T Memorial College of Engineering and Technology Neelamangalam,Kallakurichi District,606202
1436,A R Engineering College Vadakuchipalayam Kappiyampuliyur Post Villupuram,Villupuram District,605601
3821,A R J College of Engineering and Technology Mannargudi Taluk Thiruvarur,Thiruvarur District,614001
1232,- A R M College of Engineering and Technology Sattamangalam,Chengalpattu District,603209
3801,A V C College of Engineering Mannampandal Post,MayiladuthuraiDistrict,609305
2636,A V S Engineering College Military Road Ammapet,Salem District,636003
4937,- A.R College of Engineering and Technology A.R Nagar Kadayam-Alangulam,Kadayam-Alangulam District,627423
4680,AAA College of Engineering and Technology Kamarajar Educational Road,Virudhunagar District,626005
1135,Aalim Muhammed Salegh Academy of Architecture Muthapudupet Avadi IAF,Avadi IAF District,600055
1101,Aalim Muhammed Salegh College of Engineering Muthapudupet Avadi IAF,Avadi IAF District,600055
1233,Adhi College of Engineering and Technology Pazhayaseevaram Madura,Kancheepuram District,631605
1501,Adhiparasakthi College of Engineering Kalavai,Ranipet District,632506
1401,Adhiparasakthi Engineering College Melmaruvathur,Chengalpattu District,603319
2601,Adhiyamaan College of Engineering Autonomous Hosur,Krishnagiri District,635109
2744,Adithya Institute of Technology Kurumbapalayam Village,Coimbatore District,641107
1316,Agni College of Technology Old Mahabalipuram Road OMR Thalambur,Chengalpattu District,603103
2763,Akshaya College of Engineering and Technology Kinathukadavu Coimbatore,Coimbatore District,642109
5901,Alagappa Chettair Government College of Engineering and Technology,Sivagangai District,630004
2652,AL-Ameen Engineering College Autonomous KarundevanPalayam,Erode District,638104
1228,Alpha College of Engineering No. Udayavar Koil Street Poonamallee,Poonamallee District,600124
4972,AMRITA College of Engineering and Technology Erachakulam Post,Kanyakumari District,629902
1303,Anand Institute of Higher Technology Old Mahabalipuram Road OMR,Chengalpattu District,603103
1145,- Anand School of Architecture Old Mahalibalipuram Road OMR Kazhipattur,Chengalpattu District,603103
2025,NavavoorBharathiyar University Post Somayampalayam Anna University Regional Campus - Coimbatore Maruthamalai Main Road,Coimbatore District,641046
5010,Anna University Regional Campus - Madurai Kanyakumari National Highway,Madurai District,625019
4020,Anna University Regional Campus - Tirunelveli Trivandrum Road,Tirunelveli District,627007
3849,Annai College of Engineering and Technology Anakudi Road Kovilacheri,Thanjavur District,612503
